level #	Mode	dx range, dyRange	target score	max asteroids	asteroid spawn freq, num per spawn	max enemies	enemy spawn freq, num per spawn
1	SCROLLER	(-0.5, 0.5), (2, 5)	100	-1	(20, 50), (1, 1)	0	n/a
2	SCROLLER	(-0.5, 0.5), (2, 5)	200	-1	(20, 45), (1, 1)	0	n/a
3	SCROLLER	(-0.6, 0.6), (2, 6)	400	-1	(18, 45), (1, 1)	0	n/a
4	SCROLLER	(-0.6, 0.6), (2, 6)	600	-1	(15, 40), (1, 1)	0	n/a
5	SCROLLER	(-0.65, 0.65), (2, 7)	800	-1	(13, 35), (1, 1)	0	n/a
6	ASTEROID	spd(1, 3)	1000	-1	(20, 50), (1, 1)	0	n/a
7	SCROLLER	(-0.5, 0.5), (2, 5)	100	-1	(20, 50), (1, 1)	3	(1, 1), (3, 3)
8	SCROLLER	(-0.5, 0.5), (2, 5)	200	-1	(20, 45), (1, 1)	5	(delay, delay), (5, 5)
9	SCROLLER	(-0.6, 0.6), (2, 6)	400	-1	(18, 45), (1, 1)	5	(delay, delay), (5, 5)
10	SCROLLER	(-0.6, 0.6), (2, 6)	600	-1	(15, 40), (1, 1)	7	(delay, delay), (7, 7)
11	SCROLLER	(-0.65, 0.65), (2, 7)	800	-1	(13, 35), (1, 1)	7	(delay, delay), (7, 7)
12	ASTEROID	spd(1, 3)	1000	-1	(20, 50), (1, 1)	9	(delay, delay), (9, 9)